City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tiksi,71.6872,128.8694,-3.73,98,60,7.4,RU,1667532890
1,Chui,-33.6971,-53.4616,52.66,80,1,5.44,UY,1667532891
2,Jyvaskyla,62.2415,25.7209,41.34,98,100,4.61,FI,1667532891
3,Rikitea,-23.1203,-134.9692,70.36,70,100,16.84,PF,1667532779
4,Puerto Ayora,-0.7393,-90.3518,67.28,84,68,9.51,EC,1667532892
5,Bluff,-46.6,168.3333,50.52,80,93,34.36,NZ,1667532892
6,Mataura,-46.1927,168.8643,52.66,72,78,12.75,NZ,1667532893
7,Beloha,-25.1667,45.05,71.51,68,15,12.44,MG,1667532893
8,Hilo,19.7297,-155.09,76.62,86,75,5.01,US,1667532894
9,Albany,42.6001,-73.9662,55.81,69,0,1.01,US,1667532682
10,Ostrov,57.3439,28.3537,38.93,89,93,3.31,RU,1667532895
11,Ponta Delgada,37.7333,-25.6667,69.49,100,75,11.5,PT,1667532895
12,Syas'stroy,60.1367,32.5691,29.3,89,15,4.34,RU,1667532896
13,Ushuaia,-54.8,-68.3,53.26,71,20,8.05,AR,1667532896
14,Dikson,73.5069,80.5464,21.43,92,100,6.04,RU,1667532896
15,Henderson,36.0397,-114.9819,53.04,61,0,4.61,US,1667532881
16,Punta Arenas,-53.15,-70.9167,59.11,63,0,26.46,CL,1667532897
17,Plettenberg Bay,-34.0527,23.3716,63.28,93,96,3.76,ZA,1667532898
18,East London,-33.0153,27.9116,65.34,88,20,2.3,ZA,1667532898
19,Laohekou,32.3858,111.6678,56.43,65,100,5.39,CN,1667532898
20,Sola,-13.8833,167.55,84.87,70,75,0.0,VU,1667532899
21,São Filipe,14.8961,-24.4956,80.78,55,100,7.78,CV,1667532900
22,Pevek,69.7008,170.3133,-16.19,98,57,6.22,RU,1667532900
23,Constitución,-35.3333,-72.4167,50.09,88,97,1.48,CL,1667532656
24,Paraíso,9.8383,-83.8656,65.41,91,100,1.21,CR,1667532901
25,Bredasdorp,-34.5322,20.0403,63.84,94,97,12.01,ZA,1667532902
26,Tuktoyaktuk,69.4541,-133.0374,10.4,85,100,11.5,CA,1667532902
27,Kavieng,-2.5744,150.7967,84.94,67,33,2.64,PG,1667532903
28,Castro,-24.7911,-50.0119,43.5,98,6,4.36,BR,1667532605
29,Mahébourg,-20.4081,57.7,76.24,83,40,9.22,MU,1667532904
30,Bustamante,26.5333,-100.5,72.59,67,0,13.82,MX,1667532904
31,Cape Town,-33.9258,18.4232,70.12,83,20,8.99,ZA,1667532714
32,Severo-Kuril'sk,50.6789,156.125,40.6,84,100,13.87,RU,1667532905
33,Oudtshoorn,-33.5907,22.2014,59.36,90,60,0.76,ZA,1667532905
34,Port Lincoln,-34.7333,135.8667,60.84,61,55,9.75,AU,1667532906
35,George Town,5.4112,100.3354,86.9,78,20,5.75,MY,1667532832
36,Khedbrahma,24.0333,73.05,83.07,32,0,2.44,IN,1667532907
37,Vieux-Habitants,16.0589,-61.7659,76.57,79,95,11.36,GP,1667532907
38,Souillac,-20.5167,57.5167,75.58,83,40,9.22,MU,1667532908
39,Ambanja,-13.6833,48.45,76.93,82,4,1.61,MG,1667532908
40,Catuday,16.2923,119.8062,82.15,74,19,11.36,PH,1667532909
41,Marawi,7.9986,124.2928,78.98,80,69,4.9,PH,1667532910
42,Srednekolymsk,67.45,153.6833,-12.8,91,28,2.71,RU,1667532910
43,Yellowknife,62.456,-114.3525,16.32,92,100,14.97,CA,1667532911
44,Klaksvík,62.2266,-6.589,47.32,92,100,29.95,FO,1667532911
45,Port Hedland,-20.3167,118.5667,95.05,11,0,12.66,AU,1667532727
46,College,64.8569,-147.8028,14.58,84,100,6.91,US,1667532912
47,Hasaki,35.7333,140.8333,67.21,75,98,23.62,JP,1667532912
48,Atuona,-9.8,-139.0333,77.31,81,31,14.12,PF,1667532913
49,Hobyo,5.3505,48.5268,80.28,69,8,4.03,SO,1667532914
50,Port Alfred,-33.5906,26.891,68.11,82,53,15.48,ZA,1667532914
51,Tabou,4.423,-7.3528,76.95,89,100,3.83,CI,1667532915
52,Leningradskiy,69.3833,178.4167,5.76,95,100,11.92,RU,1667532915
53,Tromsø,69.6496,18.957,43.38,75,100,8.05,NO,1667532897
54,Dzilam González,21.2833,-88.9333,74.7,95,100,5.73,MX,1667532916
55,Champerico,14.3,-91.9167,79.88,81,99,4.74,GT,1667532917
56,Tessalit,20.1986,1.0114,70.05,21,0,10.71,ML,1667532917
57,Geraldton,-28.7667,114.6,73.81,53,0,19.57,AU,1667532918
58,Mangai,-4.05,19.5333,66.27,98,51,0.83,CD,1667532919
59,Nālūt,30.3333,10.85,58.35,41,3,4.27,LY,1667532919
60,Bilma,18.6853,12.9164,64.94,30,41,7.94,NE,1667532920
61,Dingcheng,32.1272,115.0394,62.74,57,85,13.85,CN,1667532920
62,Namatanai,-3.6667,152.4333,86.25,65,65,1.63,PG,1667532921
63,Caravelas,-17.7125,-39.2481,69.44,78,100,17.78,BR,1667532921
64,Moussoro,13.6408,16.4901,73.02,19,100,11.36,TD,1667532922
65,Balod,20.73,81.2047,75.2,48,0,4.36,IN,1667532922
66,Cayenne,4.9333,-52.3333,75.24,94,100,0.0,GF,1667532923
67,Perevolotskiy,51.8763,54.1938,16.92,98,73,5.23,RU,1667532923
68,Ambunti,-4.2365,142.8448,87.67,72,95,2.44,PG,1667532924
69,Asău,46.4333,26.4,31.12,85,43,3.74,RO,1667532924
70,Opuwo,-18.0607,13.84,64.83,29,56,3.91,NA,1667532925
71,Guerrero Negro,27.9769,-114.0611,63.3,57,5,21.09,MX,1667532925
72,Colares,38.7992,-9.4469,62.28,93,98,14.0,PT,1667532926
73,Boca do Acre,-8.7522,-67.3978,65.53,50,5,3.36,BR,1667532926
74,Rudolstadt,50.7167,11.3333,53.4,90,100,4.61,DE,1667532927
75,Lebu,-37.6167,-73.65,52.39,92,93,1.83,CL,1667532927
76,Ponta do Sol,32.6667,-17.1,70.72,87,22,2.73,PT,1667532928
77,Kudahuvadhoo,2.6708,72.8944,81.61,78,54,14.54,MV,1667532929
78,Arroyo de la Encomienda,41.6096,-4.7969,43.14,83,0,5.75,ES,1667532929
79,Fort Nelson,58.8053,-122.7002,11.79,85,40,4.61,CA,1667532930
80,Sistranda,63.7256,8.834,51.76,77,95,10.13,NO,1667532930
81,Bethel,41.3712,-73.414,54.48,89,0,0.0,US,1667532931
82,Lompoc,34.6391,-120.4579,53.74,72,0,3.44,US,1667532769
83,New Norfolk,-42.7826,147.0587,66.7,32,60,2.44,AU,1667532932
84,Khandyga,62.6667,135.6,2.71,92,69,2.04,RU,1667532932
85,Ketchikan,55.3422,-131.6461,43.27,87,75,4.61,US,1667532790
86,Hong Kong,22.2855,114.1577,75.96,86,41,11.01,HK,1667532750
87,Busselton,-33.65,115.3333,66.52,49,71,13.8,AU,1667532934
88,Kapaa,22.0752,-159.319,82.38,80,75,16.11,US,1667532736
89,Tshikapa,-6.4167,20.8,68.7,90,79,0.74,CD,1667532934
90,Poso,-1.3959,120.7524,87.17,64,100,4.79,ID,1667532935
91,Shubarkuduk,49.1447,56.4872,27.64,92,80,13.65,KZ,1667532935
92,Balyqshy,47.0667,51.8667,35.6,87,75,11.18,KZ,1667532936
93,San Patricio,28.017,-97.5169,78.66,87,25,14.16,US,1667532936
94,Pisco,-13.7,-76.2167,60.85,88,100,13.8,PE,1667532937
95,Bengkulu,-3.8004,102.2655,84.09,66,98,9.31,ID,1667532938
96,Batemans Bay,-35.7167,150.1833,68.09,62,46,10.04,AU,1667532938
97,Hobart,-42.8794,147.3294,67.05,52,20,11.5,AU,1667532938
98,Malakal,9.5334,31.6605,71.51,39,40,5.08,SS,1667532939
99,Dingle,10.9995,122.6711,85.3,75,91,11.41,PH,1667532939
100,Terney,45.0503,136.6092,36.66,35,12,14.58,RU,1667532940
101,Jaicós,-7.3592,-41.1378,75.15,82,76,3.0,BR,1667532940
102,Laas,46.6166,10.7002,49.08,99,100,2.77,IT,1667532941
103,Matara,5.9485,80.5353,84.16,68,69,7.76,LK,1667532941
104,Ribeira Grande,38.5167,-28.7,67.77,97,49,7.0,PT,1667532942
105,Chara,56.9064,118.2631,19.49,82,59,4.92,RU,1667532942
106,Sitka,57.0531,-135.33,42.69,70,75,6.91,US,1667532943
